ztop,Temperature,AgeAICC
493.9,-9.55,19748.4
494.45,-8.91,19789.5
495,-9.96,19830.5
495.55,-9.16,19874.1
496.1,-9.75,19917.7
496.65,-9.62,19961.3
497.2,-10.19,20005.6
497.75,-9.37,20049.9
498.3,-10.19,20094.2
498.85,-9.93,20137.5
499.4,-8.94,20180.9
499.95,-8.84,20224.2
500.5,-8.53,20265
501.05,-9.51,20305.8
501.6,-10.43,20346.6
502.15,-9.81,20390.1
502.7,-9.4,20433.5
503.25,-9.04,20476.9
503.8,-9.46,20517.8
504.35,-8.71,20558.7
504.9,-9.79,20599.6
505.45,-9.22,20641.4
506,-9.53,20683.3
506.55,-9.69,20725.1
507.1,-9.72,20768.3
507.65,-10.18,20811.5
508.2,-8.92,20854.7
508.75,-8.83,20895.1
509.3,-9.31,20935.5
509.85,-9.49,20975.9
510.4,-9.65,21018.2
510.95,-9.64,21060.5
511.5,-9.03,21102.9
512.05,-9.36,21144
512.6,-9.41,21185.1
513.15,-9.47,21226.3
513.7,-9.39,21269.1
514.25,-10.14,21311.8
514.8,-9.25,21354.6
515.35,-9.52,21396.3
515.9,-8.74,21437.9
516.45,-9.06,21479.5
517,-10.02,21523.1
517.55,-10.04,21566.7
518.1,-9.2,21610.2
518.65,-8.59,21651
519.2,-7.92,21691.8
519.75,-10.1,21732.6
520.3,-9.71,21776.2
520.85,-8.9,21819.9
521.4,-9.64,21863.6
521.95,-10.12,21909
522.5,-9.57,21954.3
523.05,-8.96,21999.7
523.6,-8.72,22042.1
524.15,-8.47,22084.5
524.7,-9.42,22127
525.25,-9.14,22172.1
525.8,-9.6,22217.3
526.35,-9.45,22262.5
526.9,-9.82,22309.4
527.45,-9.98,22356.3
528,-9.67,22403.3
528.55,-8.81,22449.1
529.1,-10.04,22494.9
529.65,-9.91,22540.7
530.2,-8.36,22585
530.75,-9.14,22629.2
531.3,-9.41,22673.5
531.85,-8.74,22717.9
532.4,-9.22,22762.4
532.95,-9.92,22806.9
533.5,-9,22853.2
534.05,-9.98,22899.6
534.6,-9.36,22946
535.15,-9.62,22992.7
535.7,-9.39,23039.4
536.25,-9.73,23086.1
