y,x,z
2.649309706,-6.65,56.02985
2.62554898,-6.6,56.1014
2.624168717,-6.295,56.17385
2.663554961,-6.13,56.24495
2.663554961,-6.355,56.31465
2.646484845,-6.315,56.38495
2.646484845,-6.37,56.45585
2.599644327,-6.83,56.52845
2.599644327,-7.01,56.60275
2.611831343,-6.68,56.6766
2.610469873,-6.465,56.75005
2.610469873,-6.665,56.82355
2.609110253,-6.485,56.8971
2.643667942,-6.26,56.96945
2.642262461,-6.32,57.0406
2.635264531,-6.325,57.11205
2.633870803,-6.535,57.1838
2.617295838,-6.51,57.2562
2.617295838,-6.235,57.3292
2.669310373,-5.87,57.40035
2.669310373,-5.46,57.46965
2.700082031,-5.495,57.5379
2.700082031,-5.535,57.6051
2.713565382,-5.315,57.67185
2.712058222,-5.32,57.7382
2.697110261,-5.485,57.8051
2.697110261,-5.675,57.8725
2.692669099,-5.52,57.94005
2.691193084,-5.015,58.0078
2.739540868,-4.945,58.074
2.739540868,-5.02,58.1386
2.747310915,-4.83,58.20295
2.747310915,-4.815,58.26705
2.73029581,-5.015,58.3317
2.73029581,-4.935,58.3969
2.736449676,-4.925,58.4619
2.736449676,-5.095,58.5267
2.752002089,-4.725,58.591
2.753570716,-4.385,58.65475
2.758291418,-4.65,58.7183
2.756715373,-4.675,58.78175
2.805111914,-4.09,58.84375
2.803460386,-3.695,58.9043
2.818423259,-3.93,58.96445
2.816749618,-4.36,59.0242
2.756715373,-4.635,59.08585
2.756715373,-4.37,59.14935
2.806766174,-4.03,59.2113
2.808423175,-4.45,59.27165
2.737994077,-4.85,59.33415
2.737994077,-4.855,59.39885
2.698595042,-5.32,59.46485
2.698595042,-5.645,59.53215
2.718100537,-5.08,59.5988
2.718100537,-4.815,59.6648
2.741090055,-4.815,59.73005
2.741090055,-4.635,59.79455
2.745752068,-4.76,59.8589
2.744195648,-4.93,59.92315
2.758291418,-4.615,59.987
2.758291418,-4.245,60.0504
2.75986995,-4.575,60.11375
2.761450978,-5.07,60.177
2.685310714,-5.435,60.2427
