y,x,z
2.581818111,-8.17,17.3195
2.558064025,-8.615,17.3616
2.558064025,-8.37,17.4042
2.558064025,-7.77,17.4468
2.603690186,-8.09,17.48845
2.606150212,-7.88,17.5291
2.603690186,-8.02,17.56975
2.562769916,-8.03,17.6113
2.562769916,-8.385,17.6537
2.562769916,-8.935,17.6961
2.53715734,-8.45,17.73905
2.539458837,-8.755,17.7825
2.539458837,-8.75,17.8259
2.507710139,-8.735,17.87
2.509944777,-9.31,17.91475
2.507710139,-9.505,17.9595
2.470465966,-9.47,18.00515
2.468317737,-9.585,18.0517
2.468317737,-8.915,18.0983
2.534861128,-8.55,18.1434
2.534861128,-9.355,18.187
2.534861128,-9.32,18.2306
2.514429089,-8.885,18.27465
2.514429089,-9.205,18.31915
2.516678809,-9.68,18.3636
2.48781998,-9.73,18.40865
2.490010562,-9.425,18.4543
2.490010562,-9.23,18.4999
2.534861128,-9.095,18.5445
2.532570176,-9.06,18.58815
2.534861128,-9.315,18.6318
2.514429089,-9.43,18.67585
2.514429089,-9.385,18.72035
2.514429089,-9.435,18.76485
2.48781998,-9.455,18.80995
2.485634187,-9.875,18.8557
2.48781998,-9.51,18.90145
2.562769916,-8.965,18.9455
2.565131192,-8.91,18.98785
2.565131192,-9.24,19.03015
2.518933601,-9.565,19.07345
2.516678809,-9.41,19.1178
2.518933601,-9.485,19.16215
2.53715734,-9.19,19.20605
2.53715734,-9.355,19.24955
2.53715734,-9.265,19.29305
2.525728644,-9.48,19.3368
2.528003958,-9.73,19.38075
2.528003958,-8.89,19.42465
2.516678809,-9.435,19.4688
2.518933601,-10.16,19.51315
2.518933601,-9.205,19.55745
2.558064025,-9.03,19.6009
2.558064025,-9.44,19.6435
2.558064025,-8.575,19.6861
2.596346212,-8.68,19.7279
